@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z20.0-no-replacement

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data

8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3
6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3
6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3
8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
