@relation 'mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute 0.196NR1_N+0.196BDNF_N+0.195MEK_N+0.193TRKA_N+0.193pNR2B_N... numeric
@attribute 0.211SNCA_N+0.203P38_N+0.202Behavior=S/C-0.202CaNA_N-0.191ITSN1_N... numeric
@attribute '0.24 PSD95_N+0.232pCASP9_N+0.228P70S6_N+0.227nNOS_N+0.204ARC_N...' numeric
@attribute 0.258pPKCG_N+0.237S6_N+0.229P3525_N+0.221H3AcK18_N+0.217pGSK3B_N... numeric
@attribute -0.329GFAP_N+0.235pPKCG_N+0.226pRSK_N+0.222pP70S6_N-0.22BCL2_N... numeric
@attribute 0.299AcetylH3K9_N+0.225pP70S6_N+0.222TIAM1_N-0.21BRAF_N+0.205Tau_N... numeric
@attribute -0.35Tau_N-0.265AcetylH3K9_N+0.259pPKCAB_N+0.232PKCA_N-0.223SOD1_N... numeric
@attribute 0.267pP70S6_N+0.265DYRK1A_N+0.264pGSK3B_Tyr216_N+0.246BRAF_N+0.236ITSN1_N... numeric
@attribute -0.343SHH_N+0.302GluR4_N-0.289P3525_N+0.256GluR3_N-0.241Treatment=Saline... numeric
@attribute 0.386Genotype=Ts65Dn-0.383Treatment=Saline+0.273APP_N-0.245SOD1_N+0.209pNUMB_N... numeric
@attribute 0.408Genotype=Ts65Dn+0.345APP_N-0.267AcetylH3K9_N+0.256Treatment=Saline+0.218GluR4_N... numeric
@attribute 0.339BAX_N+0.299Treatment=Saline-0.294GluR3_N+0.275Ubiquitin_N+0.226RRP1_N... numeric
@attribute 0.294pRSK_N-0.275BCL2_N+0.249pCASP9_N-0.243Genotype=Ts65Dn-0.232PSD95_N... numeric
@attribute -0.309BAD_N+0.297pCREB_N-0.282EGR1_N-0.257AKT_N+0.232CREB_N... numeric
@attribute 0.306BAX_N-0.303pCAMKII_N-0.281S6_N-0.257pNR2A_N+0.248pGSK3B_Tyr216_N... numeric
@attribute '-0.41RRP1_N+0.36 Treatment=Saline-0.307pCFOS_N+0.255GluR4_N-0.243SHH_N...' numeric
@attribute '0.307pCFOS_N-0.286nNOS_N+0.27 pCASP9_N-0.251GluR4_N+0.248SYP_N...' numeric
@attribute 0.322nNOS_N-0.279GFAP_N-0.263ADARB1_N-0.223pRSK_N+0.218SYP_N... numeric
@attribute '-0.385GluR4_N-0.379H3AcK18_N-0.227SOD1_N+0.21 BCL2_N-0.207ADARB1_N...' numeric
@attribute -0.322DSCR1_N-0.254H3MeK4_N-0.236Treatment=Saline-0.236pMTOR_N-0.225CDK5_N... numeric
@attribute 0.477RRP1_N-0.343SHH_N-0.295H3AcK18_N-0.279BAX_N-0.227BCL2_N... numeric
@attribute 0.376CDK5_N-0.287pGSK3B_Tyr216_N-0.257pGSK3B_N-0.252DSCR1_N-0.219S6_N... numeric
@attribute 0.355RRP1_N-0.323pCFOS_N-0.288CDK5_N+0.226BAD_N+0.212pCASP9_N... numeric
@attribute -0.385GFAP_N+0.339RRP1_N-0.297P3525_N+0.209CDK5_N+0.204pCAMKII_N... numeric
@attribute -0.372CDK5_N+0.362GluR4_N-0.29SOD1_N-0.277EGR1_N+0.254SYP_N... numeric
@attribute '0.39 BCL2_N+0.25 Treatment=Saline-0.241EGR1_N+0.229P3525_N-0.214BAD_N...' numeric
@attribute '0.344SYP_N+0.285GFAP_N+0.245SOD1_N+0.24 pMTOR_N-0.231pCASP9_N...' numeric
@attribute 0.348SYP_N-0.336BCL2_N+0.272H3MeK4_N-0.256EGR1_N+0.229Treatment=Saline... numeric
@attribute 0.322CDK5_N-0.316CREB_N+0.238pELK_N-0.237nNOS_N-0.212pBRAF_N... numeric
@attribute -0.332BAX_N+0.292BAD_N+0.292ADARB1_N+0.269pCFOS_N-0.245P3525_N... numeric
@attribute '0.334pELK_N+0.282pP70S6_N-0.262GluR4_N+0.26 GluR3_N+0.253BCL2_N...' numeric
@attribute '0.295SYP_N-0.266BAD_N+0.248nNOS_N+0.22 EGR1_N-0.214pCREB_N...' numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
4.640879,-5.454434,-1.786896,-2.615134,0.838577,0.592152,0.910967,-1.242855,0.552069,-1.179977,0.18855,-1.614093,-0.110573,0.782112,1.013473,-1.802488,0.377218,0.206014,0.560694,1.040701,-1.256321,-0.327502,0.761268,0.277583,0.085759,0.547904,0.044835,-0.667863,0.723224,0.273457,-0.45636,-0.469574,c-CS-m,cluster3
3.027011,-5.512648,-0.858302,-2.008603,0.597118,0.227037,0.983194,-1.239642,0.463748,-1.112374,0.056986,-1.718145,0.138401,0.860497,1.155793,-1.642843,0.328909,0.034021,0.620399,1.233646,-1.289094,-0.209367,0.893328,0.232883,0.039778,0.714629,0.328087,-0.566752,0.634698,0.152939,-0.44315,-0.456917,c-CS-m,cluster3
3.143029,-5.714598,-0.633471,-1.661512,0.611361,-0.039736,1.048057,-1.400352,0.575894,-1.27849,0.062572,-1.986916,0.162752,0.879306,1.249655,-1.59165,0.278911,-0.00336,0.745902,1.055312,-1.509856,-0.32637,0.645372,0.245771,-0.165622,0.735989,0.28478,-0.722509,0.522046,0.079112,-0.252663,-0.549011,c-CS-m,cluster3
0.642921,-4.070686,-2.571445,-1.519617,1.315712,0.075358,1.520356,-1.072371,0.932335,-1.150227,-0.202455,-1.32952,-0.126798,0.441426,1.572387,-1.307964,-0.289132,-0.343656,-0.087882,0.675627,-1.077339,-0.091724,0.762701,0.00453,-0.060563,0.563388,-0.118121,-0.633003,0.809588,-0.066435,-0.221239,-0.279629,c-CS-m,cluster7
-0.406046,-4.365115,-1.397117,-1.046793,1.039368,-0.21901,1.860388,-0.807977,0.77903,-1.08564,-0.357436,-1.438222,-0.081302,0.507213,1.817639,-1.388915,-0.140658,-0.383908,0.097483,0.673096,-1.19163,-0.124869,0.652258,0.295015,-0.050456,0.614393,0.206315,-0.270175,0.446245,-0.12653,0.203918,-0.326166,c-CS-m,cluster7
-0.402122,-4.569717,-1.582892,-1.163126,1.442205,-0.434931,1.548932,-1.12904,0.806754,-1.122344,-0.496459,-1.603845,-0.122307,0.376312,1.649251,-1.280199,-0.194291,-0.094558,0.527266,0.71093,-1.304394,-0.102642,0.675222,0.1101,0.025376,0.6363,0.064133,-0.285911,0.191505,0.069266,0.068646,0.115902,c-CS-m,cluster7
-0.850147,-3.359845,-3.563252,-1.585558,2.022172,-0.045723,1.670132,-0.97622,1.153987,-1.263764,-0.378692,-1.482949,-0.48658,0.08809,1.669898,-0.732669,-0.149325,-0.162433,-0.099133,0.557447,-1.052864,-0.20576,0.37759,0.100973,0.132774,0.392905,0.090733,-0.449228,0.672224,-0.195071,-0.070309,0.118937,c-CS-m,cluster7
-2.229361,-3.704696,-2.441289,-1.262058,1.843033,-0.326368,1.815934,-0.836953,0.856469,-1.347936,-0.455507,-1.513871,-0.448491,0.190302,1.597992,-1.147537,-0.281481,-0.552638,0.006228,0.329756,-0.867901,-0.197646,0.559075,-0.021046,-0.177478,0.429918,-0.026947,-0.530812,0.48546,-0.127298,0.155826,-0.235568,c-CS-m,cluster7
-3.863029,-4.00622,-1.454081,-1.097596,1.855873,-0.499736,1.816851,-1.28229,0.798595,-1.270154,-0.87695,-1.267091,-0.736048,0.066753,1.771971,-0.755109,-0.241375,-0.126931,0.167854,0.513239,-1.055308,0.187609,0.593274,0.279544,-0.045642,0.252276,0.23351,-0.178214,0.211126,0.149325,0.209512,0.280308,c-CS-m,cluster7
-2.281328,-1.512417,-5.023283,-0.486323,1.327655,-0.194548,2.383,-0.929138,1.427716,-1.78253,0.150897,-1.638254,-0.202737,-0.193431,1.651377,-0.289493,-0.44077,0.137513,-0.392289,0.610739,-0.663275,0.382752,-0.006995,-0.082982,0.147702,-0.6258,0.072257,-0.177094,0.075269,-0.006405,-0.209757,-0.1019,c-CS-m,cluster7
-2.929343,-2.089589,-4.363391,-0.149272,1.554492,-0.138205,2.2973,-0.649011,1.358566,-1.412581,0.057972,-1.641604,-0.198015,-0.016738,1.796601,-1.137247,-0.200638,-0.240648,-0.237233,0.096,-0.646179,0.218446,-0.086001,-0.054362,-0.310412,-0.060377,-0.231215,-0.243017,-0.074043,-0.169908,0.157254,-0.155178,c-CS-m,cluster7
-3.456351,-2.133683,-3.357347,0.188781,1.464884,-0.479797,2.520331,-0.736462,1.064672,-1.630987,-0.204857,-2.080629,-0.334822,-0.021415,2.068887,-0.610905,-0.177416,0.276948,0.122798,0.496489,-1.039962,0.460181,-0.127365,0.259532,-0.298489,-0.129272,-0.067069,-0.21346,-0.485772,0.20728,-0.041669,0.022741,c-CS-m,cluster7
