@relation 'mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomProjection-M-N32-R42-DSparse1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
20.70828,5.553755,-6.471394,-10.778447,6.438584,-3.555336,-6.07499,-16.620621,5.378333,18.161907,10.321596,6.897224,4.708045,12.587222,1.235794,0.278867,7.829374,12.604463,7.889344,9.393093,3.720052,14.457371,-1.238844,3.04312,-3.005957,12.489359,9.026046,7.659584,-15.88102,0.532725,-9.360313,10.634194,c-CS-m,cluster2
20.423146,5.688401,-5.881894,-10.346014,5.532338,-3.187715,-5.538579,-15.168305,5.660016,17.566982,10.277903,6.117262,4.632049,11.871118,1.437271,0.044942,6.901942,11.646308,7.887212,9.550954,3.277362,13.605276,-1.456572,2.493218,-2.747841,11.773465,8.026796,7.39113,-15.136449,0.773407,-8.827073,10.727472,c-CS-m,cluster2
20.458297,5.80805,-5.588465,-9.77362,5.908543,-3.530962,-5.338804,-14.828906,5.809783,17.287637,10.30457,6.140002,4.626779,12.092309,1.888034,0.167588,6.994948,11.328404,7.681415,9.460818,3.694411,13.821223,-1.324754,2.658068,-2.535601,12.134973,7.642797,7.484857,-15.524718,1.048902,-9.369442,11.100386,c-CS-m,cluster2
19.122508,5.248213,-5.549304,-9.924843,5.218182,-2.457517,-5.57725,-13.794777,4.148385,15.49079,9.513571,6.191406,4.173891,12.639636,1.454575,-0.341588,7.478969,10.787647,6.771434,9.623333,3.215776,13.03711,-0.717935,2.712908,-1.34965,9.832828,6.848732,6.820707,-13.923951,0.83024,-7.966571,9.352955,c-CS-m,cluster2
18.975587,4.99895,-4.925336,-9.437262,4.900481,-2.429281,-5.452925,-12.821759,4.473934,14.963812,9.53296,5.540424,4.19457,12.40645,1.641442,-0.147546,6.925148,10.125607,6.392185,9.459538,3.307684,12.413371,-0.831351,2.730171,-0.88871,9.55076,6.246089,6.810594,-13.931389,1.162769,-7.877577,9.865895,c-CS-m,cluster6
18.937454,5.100588,-5.010464,-9.312212,5.001863,-2.724883,-4.953702,-12.7877,4.212585,14.991994,9.239545,5.926958,4.3824,12.327811,1.693637,-0.20363,6.864803,9.900997,6.900778,9.576952,2.994809,12.761917,-0.822622,2.689776,-1.295924,9.751074,6.025514,6.919791,-13.983215,1.11693,-7.972483,9.411924,c-CS-m,cluster6
18.550609,4.515798,-4.937788,-9.662306,4.846044,-1.876641,-5.590066,-12.439149,3.777818,14.453039,9.135624,5.61235,4.314007,12.788221,1.408185,-0.261853,7.089989,9.606361,5.828164,9.817853,2.824741,12.344782,0.297982,2.621123,-0.449729,7.899702,6.094271,6.781912,-13.135364,0.906204,-7.282567,8.38174,c-CS-m,cluster6
18.527382,4.471069,-4.653129,-8.982114,4.475183,-1.993391,-5.030551,-11.295285,4.254923,13.775542,9.334008,5.211427,4.073976,12.403199,1.922445,-0.250224,6.763788,9.233062,5.75782,9.938229,2.742195,11.701522,-0.130846,2.460285,-0.026745,7.683997,5.709295,6.44627,-13.126229,1.273814,-7.246317,8.717278,c-CS-m,cluster6
17.684078,4.416298,-4.23145,-8.529133,4.02304,-2.123479,-4.767217,-10.371789,3.961453,13.127336,8.670795,4.884627,4.275136,11.923207,1.707464,0.021122,6.279351,8.838044,5.325376,9.168273,2.828598,11.762331,-0.392311,2.47389,0.025672,7.746076,5.015602,6.128931,-12.795231,1.547109,-7.304955,9.009818,c-CS-m,cluster6
17.447654,3.307076,-4.147507,-8.958189,4.463556,-1.14455,-5.190222,-9.698447,3.48336,12.505343,8.015155,4.903756,4.616865,12.551272,2.050833,-0.266791,6.472158,7.712012,4.271094,9.375238,2.603544,11.309363,0.561216,1.850177,0.894201,5.688852,4.778169,6.401334,-12.224529,1.144037,-6.538265,8.054331,c-CS-m,cluster6
