@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomProjection-M-N32-R5-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
-3.28078,4.414726,-5.201447,3.131889,-13.658113,9.327482,-6.494704,12.548393,-5.005594,-3.308498,2.52825,9.326442,0.208328,-3.441202,-17.684357,-1.20077,-8.74398,0.821971,17.24785,-10.126773,-5.104409,12.677633,14.014404,-2.361779,-0.912652,16.61295,5.923803,-3.865783,2.901797,12.805152,-10.613451,-17.30494,c-CS-m
-3.691381,3.670262,-5.082074,2.729684,-12.992496,9.075527,-6.419926,12.337632,-4.876189,-3.556752,2.341081,8.912233,0.392568,-3.260005,-16.821752,-1.581717,-8.651618,0.573158,16.523882,-9.671864,-4.800947,12.382914,13.871134,-1.954502,-0.789325,16.250546,5.814027,-3.971979,2.731283,12.178791,-9.868883,-16.352683,c-CS-m
-4.176799,3.929783,-4.809046,2.849049,-12.688661,9.466092,-6.304199,12.574065,-4.811187,-3.895358,1.948824,9.036733,0.445788,-3.508021,-17.292378,-1.534607,-8.984153,0.135698,16.13021,-9.395698,-4.538079,12.565991,13.502119,-1.598285,-0.443738,16.359338,6.057983,-3.63113,2.641911,12.036913,-9.953692,-16.719001,c-CS-m
-2.537629,2.349123,-3.22122,1.978601,-11.58755,8.248928,-5.211538,11.200871,-5.04095,-3.659292,1.59578,8.034267,0.582248,-2.71496,-15.978848,-1.052207,-8.07498,-0.617932,14.590386,-8.382549,-4.916021,10.825117,12.917922,-0.682866,-1.417742,15.470364,4.691014,-3.50847,2.785037,11.374243,-9.75699,-14.120515,c-CS-m
-3.037763,1.85045,-2.595831,1.72599,-11.479757,8.46314,-5.009732,11.143959,-4.964693,-3.709348,1.478906,8.106486,0.882911,-2.911134,-15.597266,-1.133742,-8.491381,-1.181614,13.837479,-8.018088,-4.414731,11.094977,12.141964,-0.66673,-1.099949,15.209883,4.508165,-3.358403,2.635866,10.893372,-9.478172,-13.536393,c-CS-m
-3.135679,2.344849,-2.925848,1.658491,-11.167356,8.409244,-5.169813,11.434274,-4.923519,-3.738268,1.120005,7.814975,0.77066,-2.923196,-15.701894,-1.42752,-8.30814,-1.041477,13.955731,-8.077544,-4.676922,10.992071,12.634697,-0.344126,-1.133089,15.455058,4.874665,-2.967058,2.359311,10.798093,-9.405265,-14.048082,c-CS-m
-2.232728,1.336437,-2.029222,1.489848,-10.313931,7.583989,-4.702703,10.851759,-4.684887,-3.513844,1.009675,7.358337,0.423968,-2.753807,-14.692871,-1.058371,-8.132417,-1.9712,13.432101,-7.557274,-4.778231,10.137492,12.130619,-0.138393,-2.049818,15.146346,3.899707,-3.326068,2.559517,10.765801,-9.503567,-12.775527,c-CS-m
-2.480238,0.987354,-1.631296,1.38369,-10.62701,7.802572,-4.27174,10.7849,-5.089901,-3.582276,0.538758,7.17655,0.842374,-2.52127,-14.284859,-1.202211,-8.193749,-1.946841,12.796992,-7.267048,-4.175917,10.446558,11.606564,-0.186881,-1.935312,14.859195,3.948875,-3.128248,2.358606,10.077198,-9.21478,-12.146684,c-CS-m
-2.895795,0.725807,-1.145523,0.874895,-9.934532,7.512886,-3.912536,10.604703,-5.106742,-3.63802,0.564676,7.119396,1.120995,-2.573291,-13.959389,-1.286001,-7.888584,-2.020971,12.100897,-6.649476,-4.136217,10.400878,11.11047,0.524785,-1.275936,14.421985,3.894286,-2.776786,2.053526,9.579343,-9.054216,-11.4241,c-CS-m
-1.91319,-0.266275,-0.531028,0.612308,-8.88576,6.879172,-3.989952,9.926995,-4.127979,-3.390178,0.435884,6.496744,0.696284,-2.336963,-13.231252,-0.399084,-8.134739,-3.509159,11.45242,-6.232795,-4.417157,9.03256,10.686615,0.967446,-2.207521,14.416081,2.979385,-3.171934,2.027579,9.225263,-8.494395,-10.515223,c-CS-m
-2.112981,-0.242953,-0.798375,0.707823,-9.087986,7.0977,-3.839484,9.904578,-4.320266,-3.684115,0.185082,6.24788,0.870546,-2.249421,-13.281229,-0.720019,-8.344236,-3.122037,11.498337,-6.179216,-4.120592,9.27287,10.744531,1.00425,-1.991128,14.404956,3.211371,-3.091465,2.210339,9.156532,-8.656187,-10.760722,c-CS-m
-2.335496,-0.533111,-0.145721,0.449803,-8.719935,7.106984,-3.410571,10.161764,-4.400653,-3.578739,-0.021249,6.212348,0.948106,-2.484752,-12.864172,-0.837448,-8.405308,-3.419943,10.927732,-5.796131,-3.977017,9.396407,10.390219,1.379712,-1.926771,14.282837,3.230727,-2.838975,1.881844,8.698697,-8.594254,-10.159434,c-CS-m
-1.447761,-0.842426,-0.008208,0.331203,-8.596265,6.294694,-3.812017,9.381915,-4.248847,-3.659648,0.700466,6.172386,0.788211,-1.89367,-12.108035,-0.686975,-8.037732,-3.681186,10.471874,-5.707934,-4.115237,8.507908,10.149989,1.272979,-2.349331,13.680953,2.576325,-3.439394,1.770502,8.552316,-7.780965,-9.373204,c-CS-m
-1.846726,-0.806464,0.02423,0.548431,-8.401706,6.371976,-3.422295,9.491709,-4.221465,-3.899058,0.151312,5.682938,0.842572,-2.048883,-12.382322,-0.635625,-7.991606,-3.571286,10.6758,-5.644269,-4.05603,8.764735,10.151274,1.484357,-2.094172,13.858823,2.751397,-3.423644,1.757079,8.438868,-8.01223,-9.631389,c-CS-m
-2.042053,-0.724853,0.124221,0.176687,-8.055867,6.405858,-3.544266,9.375378,-4.16631,-3.77484,0.314902,5.76295,0.988327,-2.277574,-12.020885,-0.909625,-7.732975,-3.373855,10.365255,-5.275977,-4.195777,8.496437,10.036628,1.934715,-1.704374,13.492153,2.603394,-3.109921,1.500677,8.370861,-7.905748,-9.502358,c-CS-m
-3.760307,5.324818,-8.112294,4.877097,-9.615387,7.250517,-7.470203,11.342454,-3.888097,-3.958574,3.794071,10.883539,-1.220857,-4.325402,-15.913198,-1.110132,-6.893538,-1.493038,17.607646,-9.253578,-7.727049,7.980568,14.542934,-2.121684,-0.961616,15.543332,6.257053,-5.330386,4.022487,13.848077,-7.119186,-17.901573,c-CS-m
-4.079227,4.294992,-7.376155,3.867046,-8.539553,6.827982,-7.183334,11.14317,-3.729512,-3.851946,3.462524,9.738457,-0.629211,-4.030072,-14.774738,-1.844241,-7.341162,-1.484924,16.243798,-8.230738,-7.085666,7.770974,13.667339,-1.580562,-0.317383,15.157059,5.958735,-5.074573,3.479664,12.664073,-6.492871,-16.455281,c-CS-m
-3.955481,4.287957,-7.304782,3.768374,-8.821014,6.976067,-6.973962,11.161782,-3.919075,-3.799643,3.036713,9.407383,-0.194159,-4.125399,-14.771681,-1.933185,-7.581193,-1.39971,16.004011,-8.113875,-6.878847,8.129651,13.347106,-1.760593,-0.1003,15.177513,6.118707,-4.85683,3.166371,12.392302,-6.455788,-16.252035,c-CS-m
-3.003347,2.972798,-6.235563,3.949642,-8.929844,6.974629,-6.967645,10.343208,-2.543866,-3.519138,3.608465,9.21538,-0.888703,-3.789821,-14.525738,-0.345458,-7.968291,-2.528039,15.287089,-8.749621,-6.746199,7.122747,12.952011,-2.003681,-1.204681,14.550942,5.25534,-5.356585,3.424626,11.963294,-6.51986,-15.756513,c-CS-m
-3.369284,1.711233,-5.144818,2.679496,-7.781702,6.293393,-6.048335,9.601158,-3.016716,-3.521672,2.664287,8.036064,-0.037823,-3.026205,-12.586344,-1.132631,-7.753056,-2.596266,13.041594,-7.304041,-5.75482,6.836269,11.323876,-1.249264,-0.420836,13.368095,4.539393,-4.563517,2.852374,10.316051,-5.543067,-13.202561,c-CS-m
-3.379375,2.241262,-5.580704,3.150488,-7.893835,6.666728,-6.255927,10.100342,-2.829075,-3.370396,2.757101,8.199291,-0.152521,-3.550621,-13.362753,-1.247562,-7.999113,-2.521462,13.867303,-7.609214,-6.122564,7.083206,11.852266,-1.716887,-0.273768,13.909982,5.005975,-4.828599,2.640283,10.765678,-5.953012,-14.506738,c-CS-m
-2.418748,1.662958,-5.054902,3.771471,-7.899622,6.668162,-6.835234,9.312267,-1.850579,-3.85224,3.756815,8.735474,-0.828445,-3.41823,-14.088588,0.345227,-8.20359,-3.068584,14.15173,-8.100457,-6.433218,5.999542,11.93913,-1.433795,-1.002655,13.93446,4.449089,-5.434897,3.241535,11.331437,-6.017295,-14.59864,c-CS-m
