@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S10

@attribute NR1_N numeric
@attribute pCAMKII_N numeric
@attribute pMEK_N numeric
@attribute pNR1_N numeric
@attribute BRAF_N numeric
@attribute CREB_N numeric
@attribute ELK_N numeric
@attribute ERK_N numeric
@attribute MEK_N numeric
@attribute TRKA_N numeric
@attribute APP_N numeric
@attribute SOD1_N numeric
@attribute P38_N numeric
@attribute pMTOR_N numeric
@attribute NR2B_N numeric
@attribute RAPTOR_N numeric
@attribute NUMB_N numeric
@attribute pPKCG_N numeric
@attribute CDK5_N numeric
@attribute ADARB1_N numeric
@attribute AcetylH3K9_N numeric
@attribute BAX_N numeric
@attribute GFAP_N numeric
@attribute GluR4_N numeric
@attribute SNCA_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute BAD_N numeric
@attribute BCL2_N numeric
@attribute pS6_N numeric
@attribute SYP_N numeric
@attribute H3AcK18_N numeric
@attribute Treatment=Saline numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
2.816329,2.373744,0.296927,1.02206,0.416289,0.178944,1.866358,3.685247,0.319677,0.813866,0.45391,0.36951,0.335336,0.825192,0.586271,0.339571,0.18215,1.443091,0.2947,1.33907,0.170119,0.188852,0.115291,0.142756,0.108234,0.831557,0.122652,?,0.106305,0.427099,0.114783,0,c-CS-m
2.789514,2.29215,0.281319,0.956676,0.400364,0.17368,1.761047,3.485287,0.304419,0.780504,0.43094,0.342279,0.324835,0.761718,0.545097,0.321959,0.182086,1.43946,0.29406,1.306323,0.171427,0.18457,0.118235,0.142037,0.109749,0.84927,0.116682,?,0.106592,0.441581,0.111974,0,c-CS-m
2.687201,2.283337,0.28171,1.003635,0.399847,0.173905,1.765544,3.571456,0.311747,0.785154,0.423187,0.343696,0.324852,0.757031,0.552994,0.313086,0.184388,1.524364,0.301881,1.2796,0.185456,0.190532,0.11776,0.142445,0.108196,0.846709,0.118508,?,0.108303,0.435777,0.111883,0,c-CS-m
2.466947,2.152301,0.313832,0.87539,0.385639,0.179449,1.286277,2.970137,0.279218,0.734492,0.410615,0.344509,0.330121,0.74698,0.547849,0.328492,0.161768,1.612382,0.296382,1.198765,0.159799,0.185323,0.117439,0.145068,0.119883,0.833277,0.132781,?,0.103184,0.391691,0.130405,0,c-CS-m
2.365785,2.134014,0.277964,0.864912,0.367531,0.174836,1.324695,2.896334,0.273667,0.702699,0.39855,0.329126,0.313415,0.691956,0.512824,0.312206,0.1602,1.645807,0.296829,1.206995,0.16465,0.188221,0.116048,0.140871,0.119524,0.878668,0.129954,?,0.104784,0.434154,0.118481,0,c-CS-m
2.385939,2.141282,0.266837,0.859121,0.369404,0.179728,1.22745,2.956983,0.284044,0.704396,0.391047,0.327598,0.296276,0.674419,0.514316,0.303132,0.16233,1.634615,0.288037,1.123445,0.175693,0.183824,0.115243,0.136454,0.120687,0.843679,0.131575,?,0.106476,0.439833,0.116657,0,c-CS-m
2.334224,2.012414,0.277656,0.84428,0.395977,0.186047,1.107794,2.599623,0.276241,0.693118,0.405563,0.34538,0.333909,0.757542,0.544626,0.329353,0.145566,1.773846,0.292195,1.032284,0.147855,0.18161,0.114753,0.14483,0.117041,0.798284,0.141806,?,0.097834,0.406293,0.137229,0,c-CS-m
2.260135,2.007985,0.25645,0.818643,0.360719,0.171837,1.077396,2.550215,0.265356,0.676597,0.375461,0.328163,0.322789,0.695178,0.509828,0.298526,0.147848,1.795781,0.288523,1.152068,0.152405,0.182869,0.116203,0.13443,0.116878,0.843966,0.141013,?,0.099494,0.382532,0.123376,0,c-CS-m
2.125725,1.861514,0.242604,0.74826,0.326566,0.170389,1.008846,2.4346,0.25261,0.635586,0.351218,0.309165,0.294519,0.636891,0.479988,0.279292,0.150121,1.805249,0.294458,1.107907,0.15884,0.178522,0.116799,0.132597,0.113864,0.832182,0.139589,?,0.105145,0.435687,0.125173,0,c-CS-m
2.096266,1.717861,0.283754,0.743491,0.335419,0.198385,0.906155,2.169929,0.301514,0.636731,0.380424,0.373966,0.394349,0.742079,0.530979,0.336024,0.140063,1.926596,0.301821,0.93098,0.145459,0.171088,0.126574,0.148156,0.139951,0.803395,0.183678,?,0.0933,0.414793,0.146133,0,c-CS-m
2.072572,1.724508,0.271235,0.76566,0.346037,0.196229,0.891952,2.171904,0.26272,0.635313,0.418812,0.346848,0.352118,0.693087,0.524022,0.323535,0.144505,1.902902,0.298378,0.899018,0.144391,0.183802,0.119717,0.13411,0.126799,0.842472,0.168037,?,0.094357,0.385424,0.151816,0,c-CS-m
2.006871,1.672556,0.264429,0.743031,0.323125,0.19788,0.862583,2.108755,0.281311,0.615823,0.36808,0.333922,0.334511,0.666274,0.5053,0.319199,0.1423,2.001656,0.306837,0.967708,0.159451,0.174119,0.115448,0.141117,0.124202,0.836172,0.166312,?,0.098415,0.442394,0.149988,0,c-CS-m
