@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S20

@attribute ITSN1_N numeric
@attribute NR2A_N numeric
@attribute pAKT_N numeric
@attribute pCAMKII_N numeric
@attribute pCREB_N numeric
@attribute pELK_N numeric
@attribute pMEK_N numeric
@attribute pNR1_N numeric
@attribute pNR2A_N numeric
@attribute AKT_N numeric
@attribute CREB_N numeric
@attribute SOD1_N numeric
@attribute pNUMB_N numeric
@attribute pP70S6_N numeric
@attribute P70S6_N numeric
@attribute pPKCG_N numeric
@attribute S6_N numeric
@attribute ADARB1_N numeric
@attribute RRP1_N numeric
@attribute ERBB4_N numeric
@attribute GluR3_N numeric
@attribute GluR4_N numeric
@attribute pCASP9_N numeric
@attribute PSD95_N numeric
@attribute SNCA_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute SHH_N numeric
@attribute BCL2_N numeric
@attribute pS6_N numeric
@attribute EGR1_N numeric
@attribute Genotype=Ts65Dn numeric
@attribute Behavior=S/C numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
0.747193,5.990152,0.21883,2.373744,0.232224,1.750936,0.296927,1.02206,0.605673,0.859366,0.178944,0.36951,0.394721,0.29417,0.842725,1.443091,0.354605,1.33907,0.159102,0.144989,0.228043,0.142756,1.60331,2.014875,0.108234,0.831557,0.188852,?,0.106305,0.13179,0,0,c-CS-m
0.689064,5.685038,0.211636,2.29215,0.226972,1.596377,0.281319,0.956676,0.587559,0.834659,0.17368,0.342279,0.368255,0.276431,0.847615,1.43946,0.354548,1.306323,0.158129,0.150471,0.238073,0.142037,1.671738,2.004605,0.109749,0.84927,0.200404,?,0.106592,0.135103,0,0,c-CS-m
0.730247,5.622059,0.209011,2.283337,0.230247,1.561316,0.28171,1.003635,0.602449,0.814329,0.173905,0.343696,0.36388,0.256648,0.856166,1.524364,0.386087,1.2796,0.148696,0.14533,0.244817,0.142445,1.66355,2.016831,0.108196,0.846709,0.193685,?,0.108303,0.133362,0,0,c-CS-m
0.617076,4.979503,0.222886,2.152301,0.207004,1.595086,0.313832,0.87539,0.520293,0.727705,0.179449,0.344509,0.366771,0.398534,0.760234,1.612382,0.29068,1.198765,0.166112,0.140656,0.234947,0.145068,1.484624,1.957233,0.119883,0.833277,0.192112,?,0.103184,0.147444,0,0,c-CS-m
0.61743,4.718679,0.213106,2.134014,0.192158,1.50423,0.277964,0.864912,0.50799,0.687794,0.174836,0.329126,0.351551,0.393447,0.768113,1.645807,0.309345,1.206995,0.160687,0.141983,0.255528,0.140871,1.534835,2.009109,0.119524,0.878668,0.205604,?,0.104784,0.140314,0,0,c-CS-m
0.628176,4.807635,0.218578,2.141282,0.195188,1.442398,0.266837,0.859121,0.521307,0.672402,0.179728,0.327598,0.347224,0.382578,0.779695,1.634615,0.332367,1.123445,0.150594,0.139564,0.23685,0.136454,1.507777,2.003535,0.120687,0.843679,0.190469,?,0.106476,0.140766,0,0,c-CS-m
0.573696,4.47313,0.225173,2.012414,0.195789,1.612036,0.277656,0.84428,0.485387,0.646135,0.186047,0.34538,0.360308,0.465116,0.702248,1.773846,0.266857,1.032284,0.149816,0.142787,0.22452,0.14483,1.338782,1.861708,0.117041,0.798284,0.18161,?,0.097834,0.156682,0,0,c-CS-m
0.564036,4.268735,0.214834,2.007985,0.189803,1.424601,0.25645,0.818643,0.478501,0.628071,0.171837,0.328163,0.338299,0.440418,0.681941,1.795781,0.288608,1.152068,0.154515,0.140169,0.246835,0.13443,1.386076,1.969451,0.116878,0.843966,0.191561,?,0.099494,0.155612,0,0,c-CS-m
0.538428,4.06395,0.207222,1.861514,0.180684,1.261891,0.242604,0.74826,0.458962,0.600638,0.170389,0.309165,0.312065,0.421694,0.710808,1.805249,0.294113,1.107907,0.148653,0.137776,0.233857,0.132597,1.404178,1.958736,0.113864,0.832182,0.186378,?,0.105145,0.152711,0,0,c-CS-m
0.499294,3.598587,0.227649,1.717861,0.188093,1.414329,0.283754,0.743491,0.444198,0.570535,0.198385,0.373966,0.358628,0.505752,0.637927,1.926596,0.249775,0.93098,0.166254,0.124438,0.224146,0.148156,1.288669,1.818907,0.139951,0.803395,0.189523,?,0.0933,0.188849,0,0,c-CS-m
