@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S40

@attribute NR1_N numeric
@attribute NR2A_N numeric
@attribute pCREB_N numeric
@attribute pERK_N numeric
@attribute pMEK_N numeric
@attribute pNR1_N numeric
@attribute pRSK_N numeric
@attribute CREB_N numeric
@attribute RSK_N numeric
@attribute APP_N numeric
@attribute SOD1_N numeric
@attribute P38_N numeric
@attribute pPKCG_N numeric
@attribute CDK5_N numeric
@attribute BAX_N numeric
@attribute ARC_N numeric
@attribute ERBB4_N numeric
@attribute nNOS_N numeric
@attribute GFAP_N numeric
@attribute GluR3_N numeric
@attribute IL1B_N numeric
@attribute P3525_N numeric
@attribute pCASP9_N numeric
@attribute Ubiquitin_N numeric
@attribute SHH_N numeric
@attribute BAD_N numeric
@attribute H3AcK18_N numeric
@attribute H3MeK4_N numeric
@attribute CaNA_N numeric
@attribute Genotype=Ts65Dn numeric
@attribute Treatment=Saline numeric
@attribute Behavior=S/C numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
2.816329,5.990152,0.232224,0.687906,0.296927,1.02206,0.441599,0.178944,0.165846,0.45391,0.36951,0.335336,1.443091,0.2947,0.188852,0.106305,0.144989,0.176668,0.115291,0.228043,0.430957,0.247538,1.60331,1.044979,0.188852,0.122652,0.114783,0.128186,1.675652,0,0,0,c-CS-m
2.789514,5.685038,0.226972,0.695006,0.281319,0.956676,0.445222,0.17368,0.157194,0.43094,0.342279,0.324835,1.43946,0.29406,0.18457,0.106592,0.150471,0.178309,0.118235,0.238073,0.457156,0.257632,1.671738,1.009883,0.200404,0.116682,0.111974,0.131119,1.74361,0,0,0,c-CS-m
2.687201,5.622059,0.230247,0.677348,0.28171,1.003635,0.467668,0.173905,0.160895,0.423187,0.343696,0.324852,1.524364,0.301881,0.190532,0.108303,0.14533,0.176213,0.11776,0.244817,0.510472,0.255343,1.66355,0.996848,0.193685,0.118508,0.111883,0.127431,1.926427,0,0,0,c-CS-m
2.466947,4.979503,0.207004,0.583277,0.313832,0.87539,0.477671,0.179449,0.16221,0.410615,0.344509,0.330121,1.612382,0.296382,0.185323,0.103184,0.140656,0.163804,0.117439,0.234947,0.430996,0.251103,1.484624,0.990225,0.192112,0.132781,0.130405,0.146901,1.700563,0,0,0,c-CS-m
2.365785,4.718679,0.192158,0.55096,0.277964,0.864912,0.483416,0.174836,0.154827,0.39855,0.329126,0.313415,1.645807,0.296829,0.188221,0.104784,0.141983,0.16771,0.116048,0.255528,0.481227,0.251773,1.534835,0.997775,0.205604,0.129954,0.118481,0.14838,1.83973,0,0,0,c-CS-m
2.385939,4.807635,0.195188,0.56634,0.266837,0.859121,0.4959,0.179728,0.156876,0.391047,0.327598,0.296276,1.634615,0.288037,0.183824,0.106476,0.139564,0.174844,0.115243,0.23685,0.478577,0.244485,1.507777,0.920178,0.190469,0.131575,0.116657,0.14218,1.816389,0,0,0,c-CS-m
2.334224,4.47313,0.195789,0.509899,0.277656,0.84428,0.497486,0.186047,0.162162,0.405563,0.34538,0.333909,1.773846,0.292195,0.18161,0.097834,0.142787,0.151859,0.114753,0.22452,0.415529,0.238006,1.338782,1.02877,0.18161,0.141806,0.137229,0.157499,1.528484,0,0,0,c-CS-m
2.260135,4.268735,0.189803,0.501075,0.25645,0.818643,0.489558,0.171837,0.159552,0.375461,0.328163,0.322789,1.795781,0.288523,0.182869,0.099494,0.140169,0.158734,0.116203,0.246835,0.451139,0.241435,1.386076,0.943544,0.191561,0.141013,0.123376,0.159409,1.652658,0,0,0,c-CS-m
2.125725,4.06395,0.180684,0.476653,0.242604,0.74826,0.464472,0.170389,0.154147,0.351218,0.309165,0.294519,1.805249,0.294458,0.178522,0.105145,0.137776,0.160394,0.116799,0.233857,0.455974,0.236015,1.404178,0.94691,0.186378,0.139589,0.125173,0.158235,1.834599,0,0,0,c-CS-m
2.096266,3.598587,0.188093,0.455499,0.283754,0.743491,0.493037,0.198385,0.174369,0.380424,0.373966,0.394349,1.926596,0.301821,0.171088,0.0933,0.124438,0.150629,0.126574,0.224146,0.410971,0.244829,1.288669,0.970324,0.189523,0.183678,0.146133,0.192334,1.516862,0,0,0,c-CS-m
