@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S42

@attribute ITSN1_N numeric
@attribute BDNF_N numeric
@attribute pBRAF_N numeric
@attribute pCREB_N numeric
@attribute pERK_N numeric
@attribute pJNK_N numeric
@attribute PKCA_N numeric
@attribute pMEK_N numeric
@attribute CREB_N numeric
@attribute ELK_N numeric
@attribute ERK_N numeric
@attribute MEK_N numeric
@attribute TRKA_N numeric
@attribute APP_N numeric
@attribute Bcatenin_N numeric
@attribute pNUMB_N numeric
@attribute RAPTOR_N numeric
@attribute pP70S6_N numeric
@attribute pGSK3B_N numeric
@attribute pPKCG_N numeric
@attribute ADARB1_N numeric
@attribute AcetylH3K9_N numeric
@attribute BAX_N numeric
@attribute ARC_N numeric
@attribute nNOS_N numeric
@attribute IL1B_N numeric
@attribute P3525_N numeric
@attribute pCASP9_N numeric
@attribute PSD95_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute SHH_N numeric
@attribute pS6_N numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
0.747193,0.430175,0.177565,0.232224,0.687906,0.306382,0.402698,0.296927,0.178944,1.866358,3.685247,0.319677,0.813866,0.45391,3.037621,0.394721,0.339571,0.29417,0.192608,1.443091,1.33907,0.170119,0.188852,0.106305,0.176668,0.430957,0.247538,1.60331,2.014875,0.831557,0.188852,0.106305,c-CS-m
0.689064,0.41177,0.172817,0.226972,0.695006,0.299051,0.385987,0.281319,0.17368,1.761047,3.485287,0.304419,0.780504,0.43094,2.921882,0.368255,0.321959,0.276431,0.194815,1.43946,1.306323,0.171427,0.18457,0.106592,0.178309,0.457156,0.257632,1.671738,2.004605,0.84927,0.200404,0.106592,c-CS-m
0.730247,0.418309,0.175722,0.230247,0.677348,0.291276,0.381002,0.28171,0.173905,1.765544,3.571456,0.311747,0.785154,0.423187,2.944136,0.36388,0.313086,0.256648,0.200737,1.524364,1.2796,0.185456,0.190532,0.108303,0.176213,0.510472,0.255343,1.66355,2.016831,0.846709,0.193685,0.108303,c-CS-m
0.617076,0.358626,0.176463,0.207004,0.583277,0.296729,0.377087,0.313832,0.179449,1.286277,2.970137,0.279218,0.734492,0.410615,2.500204,0.366771,0.328492,0.398534,0.184169,1.612382,1.198765,0.159799,0.185323,0.103184,0.163804,0.430996,0.251103,1.484624,1.957233,0.833277,0.192112,0.103184,c-CS-m
0.61743,0.358802,0.173627,0.192158,0.55096,0.286961,0.363502,0.277964,0.174836,1.324695,2.896334,0.273667,0.702699,0.39855,2.45656,0.351551,0.312206,0.393447,0.185718,1.645807,1.206995,0.16465,0.188221,0.104784,0.16771,0.481227,0.251773,1.534835,2.009109,0.878668,0.205604,0.104784,c-CS-m
0.628176,0.367388,0.176233,0.195188,0.56634,0.289824,0.363893,0.266837,0.179728,1.22745,2.956983,0.284044,0.704396,0.391047,2.467133,0.347224,0.303132,0.382578,0.186793,1.634615,1.123445,0.175693,0.183824,0.106476,0.174844,0.478577,0.244485,1.507777,2.003535,0.843679,0.190469,0.106476,c-CS-m
0.573696,0.342709,0.184004,0.195789,0.509899,0.299654,0.37115,0.277656,0.186047,1.107794,2.599623,0.276241,0.693118,0.405563,2.288812,0.360308,0.329353,0.465116,0.177033,1.773846,1.032284,0.147855,0.18161,0.097834,0.151859,0.415529,0.238006,1.338782,1.861708,0.798284,0.18161,0.097834,c-CS-m
0.564036,0.327703,0.179668,0.189803,0.501075,0.283016,0.358876,0.25645,0.171837,1.077396,2.550215,0.265356,0.676597,0.375461,2.281173,0.338299,0.298526,0.440418,0.174599,1.795781,1.152068,0.152405,0.182869,0.099494,0.158734,0.451139,0.241435,1.386076,1.969451,0.843966,0.191561,0.099494,c-CS-m
0.538428,0.31772,0.167778,0.180684,0.476653,0.266966,0.337007,0.242604,0.170389,1.008846,2.4346,0.25261,0.635586,0.351218,2.139211,0.312065,0.279292,0.421694,0.167472,1.805249,1.107907,0.15884,0.178522,0.105145,0.160394,0.455974,0.236015,1.404178,1.958736,0.832182,0.186378,0.105145,c-CS-m
0.499294,0.362462,0.188093,0.188093,0.455499,0.324117,0.368315,0.283754,0.198385,0.906155,2.169929,0.301514,0.636731,0.380424,1.922906,0.358628,0.336024,0.505752,0.175585,1.926596,0.93098,0.145459,0.171088,0.0933,0.150629,0.410971,0.244829,1.288669,1.818907,0.803395,0.189523,0.0933,c-CS-m
