@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomSubset-N32.0-S5

@attribute NR2A_N numeric
@attribute pAKT_N numeric
@attribute pBRAF_N numeric
@attribute pCAMKII_N numeric
@attribute pNR1_N numeric
@attribute pNR2B_N numeric
@attribute CREB_N numeric
@attribute ERK_N numeric
@attribute GSK3B_N numeric
@attribute MEK_N numeric
@attribute APP_N numeric
@attribute Bcatenin_N numeric
@attribute SOD1_N numeric
@attribute pMTOR_N numeric
@attribute DSCR1_N numeric
@attribute P70S6_N numeric
@attribute pGSK3B_N numeric
@attribute pPKCG_N numeric
@attribute CDK5_N numeric
@attribute S6_N numeric
@attribute ADARB1_N numeric
@attribute BAX_N numeric
@attribute Tau_N numeric
@attribute GluR4_N numeric
@attribute P3525_N numeric
@attribute PSD95_N numeric
@attribute SNCA_N numeric
@attribute Ubiquitin_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute pS6_N numeric
@attribute CaNA_N numeric
@attribute Genotype=Ts65Dn numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
5.990152,0.21883,0.177565,2.373744,1.02206,1.877684,0.178944,3.685247,1.537227,0.319677,0.45391,3.037621,0.36951,0.825192,0.576916,0.842725,0.192608,1.443091,0.2947,0.354605,1.33907,0.188852,0.12519,0.142756,0.247538,2.014875,0.108234,1.044979,0.831557,0.106305,1.675652,0,c-CS-m
5.685038,0.211636,0.172817,2.29215,0.956676,1.725774,0.17368,3.485287,1.509249,0.304419,0.43094,2.921882,0.342279,0.761718,0.545097,0.847615,0.194815,1.43946,0.29406,0.354548,1.306323,0.18457,0.134275,0.142037,0.257632,2.004605,0.109749,1.009883,0.84927,0.106592,1.74361,0,c-CS-m
5.622059,0.209011,0.175722,2.283337,1.003635,1.731873,0.173905,3.571456,1.501244,0.311747,0.423187,2.944136,0.343696,0.757031,0.54362,0.856166,0.200737,1.524364,0.301881,0.386087,1.2796,0.190532,0.13256,0.142445,0.255343,2.016831,0.108196,0.996848,0.846709,0.108303,1.926427,0,c-CS-m
4.979503,0.222886,0.176463,2.152301,0.87539,1.566852,0.179449,2.970137,1.41971,0.279218,0.410615,2.500204,0.344509,0.74698,0.546763,0.760234,0.184169,1.612382,0.296382,0.29068,1.198765,0.185323,0.12321,0.145068,0.251103,1.957233,0.119883,0.990225,0.833277,0.103184,1.700563,0,c-CS-m
4.718679,0.213106,0.173627,2.134014,0.864912,1.480059,0.174836,2.896334,1.359876,0.273667,0.39855,2.45656,0.329126,0.691956,0.53686,0.768113,0.185718,1.645807,0.296829,0.309345,1.206995,0.188221,0.136838,0.140871,0.251773,2.009109,0.119524,0.997775,0.878668,0.104784,1.83973,0,c-CS-m
4.807635,0.218578,0.176233,2.141282,0.859121,1.538244,0.179728,2.956983,1.44791,0.284044,0.391047,2.467133,0.327598,0.674419,0.539723,0.779695,0.186793,1.634615,0.288037,0.332367,1.123445,0.183824,0.130515,0.136454,0.244485,2.003535,0.120687,0.920178,0.843679,0.106476,1.816389,0,c-CS-m
4.47313,0.225173,0.184004,2.012414,0.84428,1.494815,0.186047,2.599623,1.364236,0.276241,0.405563,2.288812,0.34538,0.757542,0.558611,0.702248,0.177033,1.773846,0.292195,0.266857,1.032284,0.18161,0.115979,0.14483,0.238006,1.861708,0.117041,1.02877,0.798284,0.097834,1.528484,0,c-CS-m
4.268735,0.214834,0.179668,2.007985,0.818643,1.409398,0.171837,2.550215,1.316646,0.265356,0.375461,2.281173,0.328163,0.695178,0.525031,0.681941,0.174599,1.795781,0.288523,0.288608,1.152068,0.182869,0.119578,0.13443,0.241435,1.969451,0.116878,0.943544,0.843966,0.099494,1.652658,0,c-CS-m
4.06395,0.207222,0.167778,1.861514,0.74826,1.341792,0.170389,2.4346,1.25203,0.25261,0.351218,2.139211,0.309165,0.636891,0.484919,0.710808,0.167472,1.805249,0.294458,0.294113,1.107907,0.178522,0.123964,0.132597,0.236015,1.958736,0.113864,0.94691,0.832182,0.105145,1.834599,0,c-CS-m
3.598587,0.227649,0.188093,1.717861,0.743491,1.355399,0.198385,2.169929,1.248234,0.301514,0.380424,1.922906,0.373966,0.742079,0.553179,0.637927,0.175585,1.926596,0.301821,0.249775,0.93098,0.171088,0.117581,0.148156,0.244829,1.818907,0.139951,0.970324,0.803395,0.0933,1.516862,0,c-CS-m
3.661058,0.229475,0.193797,1.724508,0.76566,1.297993,0.196229,2.171904,1.231097,0.26272,0.418812,1.957835,0.346848,0.693087,0.546726,0.662097,0.173292,1.902902,0.298378,0.275417,0.899018,0.183802,0.126,0.13411,0.250628,1.861549,0.126799,0.94037,0.842472,0.094357,1.613548,0,c-CS-m
3.466627,0.216333,0.204358,1.672556,0.743031,1.250098,0.19788,2.108755,1.20691,0.281311,0.36808,1.887711,0.333922,0.666274,0.529054,0.675065,0.180151,2.001656,0.306837,0.28732,0.967708,0.174119,0.127987,0.141117,0.249704,1.913532,0.124202,0.911521,0.836172,0.098415,1.722971,0,c-CS-m
3.349592,0.230898,0.188821,1.508687,0.723048,1.226711,0.199288,1.925686,1.149048,0.256018,0.366339,1.749215,0.322378,0.690391,0.528156,0.589503,0.167403,1.904006,0.279696,0.24489,0.944061,0.175276,0.117403,0.141989,0.277624,1.760635,0.160773,0.997238,0.809807,0.097652,1.426934,0,c-CS-m
3.34929,0.2258,0.188519,1.509002,0.755348,1.197204,0.214573,1.956577,1.137895,0.256725,0.367295,1.770599,0.33997,0.689049,0.524042,0.611166,0.170862,1.972578,0.283786,0.254957,0.929546,0.174378,0.117283,0.136127,0.252004,1.792434,0.131346,0.980875,0.832794,0.094642,1.50007,0,c-CS-m
3.287123,0.221811,0.185459,1.444239,0.695831,1.158143,0.184021,1.885192,1.125899,0.24235,0.356541,1.710002,0.326967,0.657014,0.519203,0.626361,0.161032,1.959456,0.285817,0.269771,0.903582,0.173352,0.119054,0.136963,0.249284,1.764756,0.125501,0.942407,0.80616,0.09914,1.613897,0,c-CS-m
6.06757,0.219049,0.185338,2.277492,0.956131,1.897836,0.175622,4.112616,1.463713,0.287649,0.42161,2.620197,0.387163,0.872369,0.796702,0.908533,0.191338,0.942728,0.285391,0.294118,1.347123,0.192243,0.182547,0.132579,0.233484,1.683323,0.13788,1.177893,0.674984,0.138655,1.29722,0,c-CS-m
5.595574,0.19917,0.165975,2.118811,0.894467,1.753804,0.163071,3.692531,1.393914,0.259198,0.389627,2.42296,0.362102,0.818119,0.664177,0.893488,0.193156,0.963389,0.278738,0.380731,1.150631,0.191827,0.184186,0.129568,0.23515,1.693821,0.128837,1.115681,0.684252,0.111362,1.363189,0,c-CS-m
5.5484,0.205323,0.165058,2.107281,0.894374,1.75717,0.165609,3.684915,1.37824,0.275097,0.393547,2.415472,0.353144,0.831081,0.611142,0.88573,0.196724,0.975494,0.281005,0.400961,1.176618,0.186705,0.185825,0.129637,0.237544,1.791836,0.136339,1.044476,0.713851,0.112036,1.404481,0,c-CS-m
4.975196,0.228087,0.186498,2.259045,0.895188,1.711115,0.185379,3.514547,1.34614,0.28329,0.416822,2.328422,0.398359,0.876725,0.774338,0.8904,0.189935,0.956807,0.291245,0.283038,1.188029,0.188029,0.181976,0.11872,0.229647,1.636213,0.149975,1.090532,0.679241,0.111507,1.170038,0,c-CS-m
4.313938,0.195786,0.161102,1.975689,0.768558,1.469692,0.158185,2.944895,1.179579,0.239222,0.364344,2.007131,0.327066,0.76483,0.605024,0.859442,0.193865,0.978376,0.280446,0.35303,1.092616,0.18255,0.17861,0.126813,0.228648,1.657028,0.144162,1.02087,0.685693,0.100578,1.272986,0,c-CS-m
4.57118,0.206927,0.171598,2.127045,0.831361,1.563696,0.173512,3.127567,1.251827,0.255482,0.382005,2.112078,0.364079,0.831535,0.617299,0.857766,0.186121,1.000503,0.26114,0.36234,1.113535,0.182093,0.195435,0.123269,0.227994,1.652261,0.132835,1.047243,0.702526,0.110682,1.279936,0,c-CS-m
4.449231,0.2585,0.197019,2.091057,0.900792,1.655799,0.197019,3.235212,1.267583,0.266884,0.424779,2.078947,0.403586,0.909874,0.828598,0.804103,0.191595,0.954555,0.283256,0.243437,1.105559,0.19347,0.167218,0.107876,0.237481,1.562762,0.153541,1.178138,0.679021,0.104897,1.178248,0,c-CS-m
4.229412,0.221493,0.187104,2.045475,0.85,1.580317,0.184163,3.119005,1.261312,0.264253,0.411086,2.043439,0.381448,0.883937,0.720136,0.768528,0.190073,0.963339,0.28291,0.323068,0.988832,0.181726,0.159052,0.110434,0.236999,1.611957,0.150592,1.118669,0.691483,0.112352,1.219966,0,c-CS-m
4.020693,0.216427,0.173775,1.940878,0.794552,1.475718,0.166174,2.804265,1.175042,0.244721,0.378378,1.910262,0.357897,0.836993,0.633657,0.717713,0.186975,0.937749,0.280296,0.31203,0.98253,0.166851,0.153804,0.118863,0.231203,1.582707,0.142525,0.979544,0.683989,0.103605,1.24613,0,c-CS-m
3.558896,0.23777,0.194589,1.783821,0.822629,1.424706,0.192949,2.594698,1.094015,0.258541,0.376879,1.76633,0.399836,0.891774,0.83848,0.7871,0.190763,0.983055,0.269063,0.251571,1.017628,0.169172,0.164253,0.102897,0.245286,1.574884,0.166029,1.154414,0.677234,0.104263,1.07748,0,c-CS-m
4.109706,0.288018,0.223206,2.082833,0.934556,1.640847,0.241227,2.87006,1.314891,0.306671,0.460955,2.034145,0.447992,1.035093,0.859943,0.746725,0.193504,0.929039,0.260917,0.291212,0.895469,0.165939,0.155977,0.105759,0.255049,1.554312,0.165393,1.068368,0.657069,0.09798,1.144378,0,c-CS-m
3.381345,0.251661,0.189476,1.800957,0.774648,1.352113,0.193994,2.401541,1.117194,0.247409,0.395163,1.705023,0.386925,0.854372,0.672602,0.740991,0.19299,0.958333,0.251126,0.313908,0.926239,0.154279,0.161318,0.104448,0.244651,1.584882,0.157658,1.027168,0.688345,0.110079,1.238457,0,c-CS-m
2.873623,0.215422,0.210526,1.414933,0.732864,1.222766,0.188188,2.119339,0.971848,0.238066,0.365361,1.421053,0.382803,0.826193,0.827111,0.704835,0.179083,0.902032,0.239408,0.170106,0.711608,0.15593,0.1427,0.090723,0.245078,1.402583,0.172468,1.103323,0.620413,0.075445,0.981414,0,c-CS-m
2.978824,0.250632,0.175095,1.487358,0.765171,1.261694,0.191846,2.10493,0.961125,0.248736,0.389381,1.512958,0.408344,0.882743,0.800253,0.684522,0.180365,0.853694,0.225136,0.232651,0.699712,0.152542,0.143428,0.099456,0.233291,1.403902,0.179725,1.030061,0.619923,0.091461,0.994404,0,c-CS-m
2.847005,0.223041,0.177573,1.462366,0.727803,1.20553,0.191091,2.04424,0.976037,0.238095,0.366513,1.421198,0.36129,0.871889,0.681106,0.626822,0.183887,0.890454,0.24431,0.239234,0.770755,0.146881,0.136401,0.101195,0.235467,1.424922,0.159325,1.009989,0.640413,0.093172,1.030948,0,c-CS-m
5.915039,0.197897,0.185599,1.765115,1.083177,2.12899,0.175836,4.643823,1.533421,0.322475,0.442922,2.747559,0.358149,0.79938,0.645043,1.223802,0.172713,0.605805,0.355595,0.676687,1.951281,0.202873,0.353719,0.124735,0.303668,2.221383,0.148823,1.180117,0.833704,0.148773,1.649983,0,c-CS-m
5.975028,0.20281,0.188473,1.807824,1.122294,2.196449,0.180972,4.892803,1.563331,0.332985,0.462685,2.801842,0.395367,0.823205,0.678599,1.216307,0.16728,0.612683,0.350499,0.637341,2.060217,0.205746,0.343087,0.121597,0.320415,2.215774,0.162581,1.066127,0.838388,0.14766,1.638988,0,c-CS-m
5.927379,0.205131,0.18259,1.783552,1.13515,2.238517,0.191738,4.804018,1.579742,0.340375,0.459964,2.856078,0.383854,0.867207,0.730548,1.200436,0.182244,0.603165,0.351726,0.59031,2.21111,0.208975,0.335484,0.124838,0.313997,2.098199,0.166326,1.063393,0.806386,0.143169,1.564925,0,c-CS-m
5.808102,0.218211,0.179905,2.312324,0.95998,1.949823,0.175376,4.039652,1.473626,0.292498,0.406927,2.418431,0.342431,0.761351,0.639824,1.151953,0.166145,0.724477,0.341942,0.59899,1.787828,0.202583,0.292974,0.117113,0.292143,2.207185,0.148373,1.291057,0.844211,0.140063,1.682222,0,c-CS-m
