@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A12-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute quality {3,4,5,6,7,8,9}

@data
-0.004395,0.008673,0.046922,0.088979,0.035083,0.017279,-0.007196,0.047672,-0.022452,0.030518,-0.020019,6
-0.018068,0.054032,0.032597,0.098326,0.044434,0.033798,-0.020021,0.038469,0.006309,0.037208,0.000647,6
-0.006913,0.034323,0.04211,0.095893,0.048174,0.047443,0.012737,0.034947,0.012454,0.02386,-0.033648,6
0.009794,0.022558,0.037193,0.092756,0.056232,0.030744,-0.005983,0.045309,0.01258,0.040892,-0.011231,6
0.009794,0.022558,0.037193,0.092756,0.056232,0.030744,-0.005983,0.045309,0.01258,0.040892,-0.011231,6
-0.006913,0.034323,0.04211,0.095893,0.048174,0.047443,0.012737,0.034947,0.012454,0.02386,-0.033648,6
-0.004554,0.039268,0.047536,0.089395,0.034586,0.029363,-0.024099,0.044814,0.004205,0.046809,-0.0164,6
-0.004395,0.008673,0.046922,0.088979,0.035083,0.017279,-0.007196,0.047672,-0.022452,0.030518,-0.020019,6
-0.018068,0.054032,0.032597,0.098326,0.044434,0.033798,-0.020021,0.038469,0.006309,0.037208,0.000647,6
-0.00853,0.046183,0.032771,0.119157,0.054757,0.039095,0.003635,0.044645,0.024442,0.035132,-0.019811,6
-0.005402,0.0592,0.024104,0.118492,0.04127,0.042183,0.005805,0.061182,0.005017,0.044074,-0.046971,5
-0.002611,0.042458,0.026316,0.104817,0.036352,0.031107,0.002704,0.041009,0.01505,0.016748,-0.028723,5
-0.00803,0.054618,0.026506,0.097493,0.045569,0.034134,-0.000035,0.055588,0.015913,0.023645,-0.041996,5
-0.010788,0.033678,0.033804,0.096984,0.079117,0.062566,-0.002235,0.065462,0.031864,0.037795,-0.02257,7
-0.013968,0.009396,0.013492,0.109522,0.043661,0.039792,-0.005255,0.040206,-0.031574,0.022327,-0.046316,5
-0.015427,0.046703,0.027822,0.100111,0.052268,0.038177,-0.007041,0.066901,0.014977,0.041453,-0.021093,7
-0.010629,0.048336,0.060765,0.094853,0.024447,0.044666,-0.021872,0.021394,0.019903,0.063319,-0.023175,6
-0.035336,0.043282,0.030874,0.123073,0.048863,0.10204,0.001713,0.034983,-0.004926,0.078429,-0.035174,8
0.004315,0.046976,0.007705,0.123265,0.049189,0.045656,-0.01869,0.055352,0.006345,0.048132,-0.010398,6
-0.005081,0.036163,0.050695,0.087493,0.034372,0.02995,-0.023605,0.042268,0.009706,0.040256,-0.023646,5
-0.035336,0.043282,0.030874,0.123073,0.048863,0.10204,0.001713,0.034983,-0.004926,0.078429,-0.035174,8
-0.009033,0.046239,0.033517,0.101852,0.043895,0.048846,0.002375,0.053566,0.000694,0.055494,-0.008067,7
-0.023629,0.03616,0.036232,0.091797,0.061342,0.053133,0.000279,0.038753,0.024042,0.034446,-0.01937,8
0.013283,0.050214,0.029164,0.110475,0.034789,0.046788,-0.036713,0.002873,0.004488,0.064987,-0.034523,5
-0.023619,0.054735,0.036686,0.109746,0.056522,0.0407,-0.015718,0.036747,0.013916,0.030644,0.005425,6
0.015289,0.012233,0.022887,0.099042,0.061861,0.036393,-0.023956,0.054903,0.015336,0.041657,-0.007621,6
-0.008095,0.037432,0.034371,0.089861,0.058821,0.046485,-0.005548,0.038066,0.027222,0.032015,-0.007096,6
-0.011055,0.033528,0.039531,0.097254,0.059357,0.050051,-0.008879,0.045829,0.005152,0.024935,-0.021772,6
-0.001118,0.051009,0.016764,0.114563,0.060375,0.049435,-0.001151,0.055898,0.006894,0.043042,-0.015673,6
-0.01181,0.045294,0.017579,0.110569,0.050993,0.046642,-0.016475,0.064409,0.009449,0.054281,-0.056047,7
0.007536,0.033401,0.033558,0.106029,0.047289,0.038,-0.002469,0.045546,0.004994,0.009824,-0.026341,6
-0.006258,0.05302,0.051491,0.0925,0.047389,0.050525,0.020264,0.040186,0.032419,0.002275,-0.022116,6
-0.005999,0.044116,0.035916,0.097677,0.050644,0.041406,0.006353,0.046051,0.016723,0.044051,-0.028815,6
-0.031554,0.036876,0.040951,0.07313,0.048469,0.022078,-0.006064,0.042237,0.027701,0.02832,-0.010143,6
0.02266,0.021414,0.047326,0.080033,0.05121,0.052629,-0.019776,0.064692,-0.011437,0.028051,0.007222,5
0.015041,0.0574,0.029908,0.112372,0.081828,0.059623,0.006955,0.057779,0.004726,0.055942,-0.025745,5
0.007714,0.037487,0.040399,0.094602,0.043252,0.048919,-0.013981,0.038549,0.00445,0.05035,-0.00528,5
0.007204,0.038396,0.035156,0.104623,0.052712,0.048383,0.005033,0.044527,0.016821,0.068254,-0.013305,6
-0.001879,0.008024,0.052232,0.076598,0.04602,0.031534,0.009751,0.03664,-0.008591,0.019023,-0.016294,5
-0.001879,0.008024,0.052232,0.076598,0.04602,0.031534,0.009751,0.03664,-0.008591,0.019023,-0.016294,5
0.013204,0.049762,0.046518,0.061203,0.105488,0.014511,0.014129,0.011544,0.007471,0.069839,-0.029379,6
0.014544,0.048915,0.047391,0.060851,0.105247,0.015709,0.015769,0.01085,0.006001,0.07114,-0.029067,6
0.010622,0.041207,0.038854,0.094957,0.051483,0.029945,-0.016123,0.040409,0.000752,0.043072,-0.016385,6
-0.007065,0.045821,0.029684,0.088366,0.048688,0.021626,-0.022478,0.042163,0.016654,0.041745,-0.015418,6
-0.003335,0.045535,0.030199,0.086558,0.050989,0.022467,-0.021885,0.041917,0.018461,0.039209,-0.015951,6
0.00562,0.041064,0.024968,0.094801,0.055184,0.020245,-0.012963,0.047418,0.023654,0.040244,-0.018215,7
-0.00836,0.022814,0.030226,0.091158,0.055811,0.042738,-0.030475,0.026969,0.014605,0.064713,-0.022633,4
-0.005755,0.023997,0.029873,0.090906,0.056101,0.04232,-0.031343,0.026498,0.013104,0.066282,-0.023259,5
0.010622,0.041207,0.038854,0.094957,0.051483,0.029945,-0.016123,0.040409,0.000752,0.043072,-0.016385,6
-0.002322,0.039677,0.038361,0.086216,0.06346,0.034181,-0.007092,0.042809,0.014733,0.026903,-0.010123,5
