@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomProjection-N9-R10-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute quality {3,4,5,6,7,8,9}

@data
25.651672,302.762481,1.402961,180.652899,-305.871512,-294.058926,54.21319,-10.045895,-238.113685,6
-8.036716,239.889037,1.437602,201.610714,-238.868859,-228.195962,32.38935,-10.738715,-227.835695,6
-0.103923,177.119516,1.454923,104.096254,-181.259117,-167.610557,54.039985,-11.847228,-140.348077,6
2.944486,332.363229,1.247077,226.03263,-333.977501,-321.863537,79.154722,-11.622061,-264.41834,6
2.944486,332.363229,1.247077,226.03263,-333.977501,-321.863537,79.154722,-11.622061,-264.41834,6
-0.103923,177.119516,1.454923,104.096254,-181.259117,-167.610557,54.039985,-11.847228,-140.348077,6
1.281718,246.955804,1.091192,171.47303,-245.942554,-235.082596,50.575884,-11.119766,-207.023373,6
25.651672,302.762481,1.402961,180.652899,-305.871512,-294.058926,54.21319,-10.045895,-238.113685,6
-8.036716,239.889037,1.437602,201.610714,-238.868859,-228.195962,32.38935,-10.738715,-227.835695,6
-11.24101,234.034705,1.524205,172.339055,-236.643174,-223.129713,59.928958,-13.475355,-200.651158,6
-13.336791,121.053031,1.680089,87.555168,-122.381514,-108.708705,30.570697,-15.605778,-117.410528,5
-4.382089,196.137433,1.610807,152.074061,-202.935733,-188.455788,37.065887,-11.362253,-182.843944,5
-11.448856,140.434679,1.732051,100.112537,-142.876871,-129.661323,39.317553,-13.198227,-127.738747,5
-13.163586,263.86062,1.593487,161.946751,-258.34577,-247.482348,91.971898,-15.34597,-193.255301,7
21.356186,305.499121,2.234346,193.556678,-311.145607,-297.25456,52.048127,-11.639381,-250.679713,5
-11.881869,207.932699,1.610807,142.894192,-204.707621,-193.750667,57.330882,-14.116214,-172.058463,7
-8.348485,182.800642,0.69282,117.60625,-182.235994,-170.72132,60.968188,-11.015843,-143.126286,6
-14.012291,147.103075,1.506884,77.595876,-139.760912,-128.810887,58.889727,-16.402521,-109.380741,8
-12.401484,308.339685,1.645448,264.830568,-308.213245,-295.648948,40.356784,-14.168176,-293.161724,6
2.407551,241.136113,1.108513,158.482649,-241.30239,-229.902032,57.157677,-10.877279,-194.831467,5
-14.012291,147.103075,1.506884,77.595876,-139.760912,-128.810887,58.889727,-16.402521,-109.380741,8
-8.660254,190.127217,1.264397,138.73727,-187.03031,-176.198065,38.971143,-13.561958,-169.380713,7
-9.508959,223.729003,1.558846,137.351629,-222.275812,-210.944736,79.847542,-12.176317,-165.689712,8
-7.309254,299.211777,1.125833,245.085189,-303.777463,-289.952233,53.86678,-10.825318,-270.989741,5
-9.387715,257.763801,1.524205,215.986736,-256.582543,-245.573628,36.892682,-11.396894,-242.674175,6
3.08305,435.870586,1.420282,311.769145,-435.842873,-423.999109,93.530744,-12.384163,-352.21946,6
-9.803408,264.224351,1.36832,190.525589,-264.134284,-252.553792,70.840878,-11.344933,-216.641451,6
2.546115,256.135673,1.593487,173.724696,-255.579685,-243.822524,52.481139,-12.332202,-214.14903,6
-13.025022,241.430562,1.680089,197.280587,-240.535092,-228.244459,40.356784,-14.566547,-226.037827,6
-12.540048,211.656609,1.853294,129.903811,-209.243862,-196.956693,73.092544,-15.934867,-161.768349,7
5.975575,254.091853,1.593487,193.29687,-259.921936,-245.611733,31.35012,-11.777945,-235.430738,6
-10.097856,90.707501,1.281718,67.376776,-95.120766,-81.236647,24.595121,-11.656702,-93.821728,6
-9.820728,184.619296,1.385641,115.960802,-185.312116,-172.858671,62.960047,-13.180907,-144.851409,6
-7.447818,213.423301,1.472243,125.573684,-212.72182,-202.520041,82.618824,-9.664844,-150.697081,6
14.185496,323.495129,0.987269,246.037817,-319.660369,-309.645651,22.256853,-11.829907,-296.468209,5
-13.96033,228.093771,1.472243,173.724696,-224.802874,-212.695839,46.072551,-16.645008,-205.438546,5
-2.078461,269.749593,1.004589,205.421226,-268.847194,-257.488405,45.206526,-11.708663,-238.900036,5
-11.881869,251.718944,1.03923,171.12662,-250.501312,-238.543233,75.863825,-13.97765,-198.990121,6
21.494751,265.887119,1.299038,149.042972,-269.945315,-257.758605,59.495945,-9.335754,-201.529308,5
21.494751,265.887119,1.299038,149.042972,-269.945315,-257.758605,59.495945,-9.335754,-201.529308,5
-6.841601,283.727243,1.299038,160.2147,-284.295355,-273.563569,116.393814,-10.8946,-186.93678,6
-6.14878,281.977871,1.264397,157.789829,-282.561573,-271.815929,115.700994,-10.91192,-185.168356,6
1.351,287.39919,1.247077,215.813531,-288.68264,-276.710705,47.804602,-11.552779,-252.240291,6
-8.504369,273.871874,1.437602,203.689175,-274.136877,-262.954757,66.164341,-10.877279,-229.432646,6
-8.469728,277.197411,1.420282,207.153277,-277.786309,-266.441376,66.337546,-10.842638,-232.908872,6
-9.647523,299.229098,1.454923,221.009683,-301.432266,-289.041175,76.210236,-11.847228,-247.35764,7
-3.360179,368.701655,1.351,240.062242,-366.981729,-356.132163,112.236892,-11.310292,-271.89214,4
-3.360179,370.399065,1.333679,243.526344,-368.725904,-357.852089,110.504842,-11.344933,-275.333725,5
1.351,287.39919,1.247077,215.813531,-288.68264,-276.710705,47.804602,-11.552779,-252.240291,6
-2.771281,270.650259,1.437602,195.721741,-271.036507,-259.594579,58.716522,-11.154407,-228.220211,5
-11.899189,313.241389,1.299038,243.179933,-311.471233,-299.423087,63.39306,-14.462624,-273.002384,6
-11.431535,228.180373,1.506884,145.319063,-225.585761,-214.459067,77.076261,-13.267509,-173.38175,7
-11.518138,155.919214,1.36832,103.749843,-152.096578,-141.849765,45.206526,-13.128945,-131.260006,7
-11.708663,200.588804,1.212436,117.779455,-197.462452,-186.82766,76.903056,-13.146266,-144.963992,6
-9.595561,237.897178,1.680089,161.25393,-239.132131,-228.538908,76.03703,-10.478907,-184.607171,6
-11.552779,343.344432,1.506884,278.340565,-342.099087,-330.456242,59.928958,-13.63124,-306.332238,6
9.110587,378.435781,1.454923,284.229538,-380.734212,-368.63757,55.945241,-11.275651,-327.975945,6
11.656702,265.350184,1.073872,146.531498,-264.470302,-254.365517,75.517415,-9.699485,-190.009438,6
-3.914435,146.722024,0.917987,83.831259,-146.19548,-134.517994,46.765372,-12.28024,-116.092437,6
-9.526279,202.407457,1.212436,113.968943,-204.385459,-191.977047,86.948951,-11.327612,-139.883887,6
-1.195115,221.408055,1.212436,152.593676,-224.245154,-212.820547,55.252421,-9.647523,-182.242922,6
11.656702,265.350184,1.073872,146.531498,-264.470302,-254.365517,75.517415,-9.699485,-190.009438,6
-10.357664,272.832643,0.710141,230.189552,-273.482162,-260.78623,39.663963,-12.95574,-256.854475,5
-3.914435,146.722024,0.917987,83.831259,-146.19548,-134.517994,46.765372,-12.28024,-116.092437,6
-10.011254,222.135516,1.264397,155.191752,-223.247493,-210.960324,63.73947,-12.384163,-182.059324,6
-7.551742,218.446248,0.987269,155.538163,-218.421999,-207.35073,58.889727,-10.184459,-180.386163,5
-5.12687,231.090219,1.264397,156.923803,-225.374451,-214.393249,46.765372,-16.246637,-196.639728,7
