@relation 'winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomProjection-N9-R40-DSparse1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 6 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute quality {3,4,5,6,7,8,9}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
63.966368,-287.943054,-13.508264,29.392902,90.066642,-20.533462,19.035238,-295.636824,-0.155885,6,cluster6
8.996272,-255.697465,-14.732824,-1.905256,35.160631,13.667613,20.732648,-229.848338,-0.069282,6,cluster5
35.706401,-189.962499,-15.770149,4.052999,65.991136,5.663806,21.685276,-169.126274,-0.207846,6,cluster3
65.585143,-339.510364,-15.422873,8.17528,93.877154,2.480297,21.425468,-323.432083,-0.155885,6,cluster1
65.585143,-339.510364,-15.422873,8.17528,93.877154,2.480297,21.425468,-323.432083,-0.155885,6,cluster1
35.706401,-189.962499,-15.770149,4.052999,65.991136,5.663806,21.685276,-169.126274,-0.207846,6,cluster3
36.502798,-253.416527,-14.90447,7.447818,62.700239,4.148262,21.044417,-237.082941,0.277128,6,cluster3
63.966368,-287.943054,-13.508264,29.392902,90.066642,-20.533462,19.035238,-295.636824,-0.155885,6,cluster6
8.996272,-255.697465,-14.732824,-1.905256,35.160631,13.667613,20.732648,-229.848338,-0.069282,6,cluster5
30.785125,-256.174125,-17.331247,-5.473281,62.527034,16.742003,23.105558,-224.487295,-0.363731,6,cluster5
-0.483589,-143.147417,-19.068494,-5.871652,33.08217,18.458465,24.283352,-110.182334,-0.242487,5,cluster4
13.96847,-215.259794,-15.078022,-1.784012,44.340501,9.760106,20.628725,-189.88421,-0.294449,5,cluster3
10.413089,-162.203094,-16.987954,-5.78505,41.396014,16.887495,22.482019,-131.050428,-0.32909,5,cluster5
63.100689,-280.739109,-19.760621,-2.424871,94.569974,19.218836,26.015403,-248.783464,-0.415692,7,cluster2
55.218126,-296.873162,-15.068496,24.854929,85.390105,-16.263957,19.728059,-298.640547,-0.34641,5,cluster6
30.17475,-224.814306,-18.028224,-2.909845,59.928958,17.455608,23.763737,-195.104092,-0.363731,7,cluster5
36.222032,-200.227152,-14.908108,-2.563435,62.873444,13.880655,21.546712,-173.203002,0.762102,6,cluster5
28.629414,-163.231586,-20.456906,-1.749371,60.968188,19.729791,26.431095,-130.836,0.311769,8,cluster4
11.001467,-328.6485,-17.854499,-4.919024,42.26204,17.748325,23.330724,-297.228059,-0.138564,6,cluster5
43.622566,-247.753414,-14.730226,7.84619,70.148058,3.093443,20.923174,-231.920737,0.294449,5,cluster3
28.629414,-163.231586,-20.456906,-1.749371,60.968188,19.729791,26.431095,-130.836,0.311769,8,cluster4
