@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomSubset-N9.0-S10

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute quality {3,4,5,6,7,8,9}

@data
7,0.27,0.36,20.7,0.045,45,170,3,0.45,6
6.3,0.3,0.34,1.6,0.049,14,132,3.3,0.49,6
8.1,0.28,0.4,6.9,0.05,30,97,3.26,0.44,6
7.2,0.23,0.32,8.5,0.058,47,186,3.19,0.4,6
7.2,0.23,0.32,8.5,0.058,47,186,3.19,0.4,6
8.1,0.28,0.4,6.9,0.05,30,97,3.26,0.44,6
6.2,0.32,0.16,7,0.045,30,136,3.18,0.47,6
7,0.27,0.36,20.7,0.045,45,170,3,0.45,6
6.3,0.3,0.34,1.6,0.049,14,132,3.3,0.49,6
8.1,0.22,0.43,1.5,0.044,28,129,3.22,0.45,6
8.1,0.27,0.41,1.45,0.033,11,63,2.99,0.56,5
8.6,0.23,0.4,4.2,0.035,17,109,3.14,0.53,5
7.9,0.18,0.37,1.2,0.04,16,75,3.18,0.63,5
6.6,0.16,0.4,1.5,0.044,48,143,3.54,0.52,7
8.3,0.42,0.62,19.25,0.04,41,172,2.98,0.67,5
6.6,0.17,0.38,1.5,0.032,28,112,3.25,0.55,7
6.3,0.48,0.04,1.1,0.046,30,99,3.24,0.36,6
6.2,0.66,0.48,1.2,0.029,29,75,3.33,0.39,8
7.4,0.34,0.42,1.1,0.033,17,171,3.12,0.53,6
6.5,0.31,0.14,7.5,0.044,34,133,3.22,0.5,5
6.2,0.66,0.48,1.2,0.029,29,75,3.33,0.39,8
6.4,0.31,0.38,2.9,0.038,19,102,3.17,0.35,7
6.8,0.26,0.42,1.7,0.049,41,122,3.47,0.48,8
7.6,0.67,0.14,1.5,0.074,25,168,3.05,0.51,5
6.6,0.27,0.41,1.3,0.052,16,142,3.42,0.47,6
7,0.25,0.32,9,0.046,56,245,3.25,0.5,6
6.9,0.24,0.35,1,0.052,35,146,3.45,0.44,6
7,0.28,0.39,8.7,0.051,32,141,3.38,0.53,6
7.4,0.27,0.48,1.1,0.047,17,132,3.19,0.49,6
7.2,0.32,0.36,2,0.033,37,114,3.1,0.71,7
8.5,0.24,0.39,10.4,0.044,20,142,3.2,0.53,6
8.3,0.14,0.34,1.1,0.042,7,47,3.47,0.4,6
7.4,0.25,0.36,2.05,0.05,31,100,3.19,0.44,6
6.2,0.12,0.34,1.5,0.045,43,117,3.42,0.51,6
5.8,0.27,0.2,14.95,0.044,22,179,3.37,0.37,5
7.3,0.28,0.43,1.7,0.08,21,123,3.19,0.42,5
6.5,0.39,0.23,5.4,0.051,25,149,3.24,0.35,5
7,0.33,0.32,1.2,0.053,38,138,3.13,0.28,6
7.3,0.24,0.39,17.95,0.057,45,149,3.21,0.36,5
7.3,0.24,0.39,17.95,0.057,45,149,3.21,0.36,5
6.7,0.23,0.39,2.5,0.172,63,158,3.11,0.36,6
6.7,0.24,0.39,2.9,0.173,63,157,3.1,0.34,6
7,0.31,0.26,7.4,0.069,28,160,3.13,0.46,6
6.6,0.24,0.27,1.4,0.057,33,152,3.22,0.56,6
6.7,0.23,0.26,1.4,0.06,33,154,3.24,0.56,6
7.4,0.18,0.31,1.4,0.058,38,167,3.16,0.53,7
